,facility_id,facility_name,facility_type,capacity_type,capacity_count,region,license_issue_date,inspection_date,gps_location,remarks
0,HF-0000,Burgess-Ingram Medical Center,community health centre,bed,250,St. Lucy,2021-04-01 00:00:00,2024-03-08 00:00:00,"13.08576, -58.75331",unknown
1,033477,Collins Inc,hospital,unknown,unknown,St. Peter,2024-03-28 00:00:00,2023-04-17 00:00:00,POINT(-58.84001 12.87196),Good
2,#2,Butler-Leon Clinic (St.),hospital,bed,117,St. James,2016-02-18 00:00:00,2022-12-30 00:00:00,"-58.82307, 13.00952",Good
4,HF-0003,"Powell, Morales and Butler Infirmary",community health centre,unknown,179,St. Lucy,2020-11-21 00:00:00,2024-07-03 00:00:00,"12.77293, -59.04279",Follow-up 2023
6,00004,"Williams, Woods and Bradley Polyclinic",hospital,unknown,unknown,St. Andrew,2021-04-17 00:00:00,2024-01-31 00:00:00,13°12′43″N 58°51′50″W,unknown
9,00006,"Herrera,-Taylor-and-Sanchez (St.Andrew)",community health centre,bed,10,St. Andrew,2021-06-11 00:00:00,2018-03-22 00:00:00,13°14′8″N 59°2′1″W,none
10,007,Wagner-Franklin Health Centre,clinic,unknown,461,St. James,2018-05-18 00:00:00,2019-07-31 00:00:00,"-59.10919, 13.04721",unknown
12,HF-0009,Lee-Macias Polyclinic©,community health centre,bed,10,St. Andrew,2019-11-13 00:00:00,2024-08-15 00:00:00,12°53′44″N 58°59′13″W,Reinspection due
14,011,Brown-Wilson 🏥 (ChristChurch),community health centre,unknown,27,Christ Church,2020-09-27 00:00:00,2019-03-13 00:00:00,13°14′19″N 59°2′18″W,Reinspection due
15,#12,"Newton,-Peters-and-Rivera©",community health centre,unknown,392,Christ Church,2024-08-23 00:00:00,2023-05-06 00:00:00,POINT(-59.22110 13.22506),unknown
16,#13,"Barr, Conley and Mendoza Clinic (ST.)",polyclinic,unknown,unknown,St. James,2024-08-16 00:00:00,2022-08-01 00:00:00,POINT(-58.87985 13.17264),none
17,333db8,Zimmerman and Sons Infirmary (St.),polyclinic,bed,84,St. Lucy,2019-02-10 00:00:00,2025-11-18 00:00:00,POINT(-58.91250 13.17008),Good
18,015,"Martinez, Williams and Ellis Polyclinic (St.James)",hospital,unknown,unknown,St. James,2017-01-07 00:00:00,2023-08-01 00:00:00,12°58′58″N 59°13′20″W,Follow-up 2023
