facility_id,facility_name,facility_type,capacity,region,licence_issue_date,inspection_date,gps_location,remarks
HF-0000,Burgess-Ingram Medical Center,Community Health Ctr.,250 beds,St.Lucy,04-01-21,08 Mar 2024,"13.08576, -58.75331",
033477,Collins Inc,Hosp.,N/A,St.Peter,28 Mar 2024,17-04-23,POINT(-58.84001 12.87196),Good
#2,Butler-Leon Clinic (St.),Hospital,117Beds,St. James Parish,2016-02-18,30/12/22,"-58.82307, 13.00952",Good
2,Butler-Leon Clinic (St.),Hospital,117Beds,St. James Parish,2016-02-18,30/12/22,"-58.82307, 13.00952",Good
HF-0003,"Powell, Morales and Butler Infirmary",Health Ctr.,179 capacity,ST. LUCY,November 21 2020,07-03-24,"12.77293, -59.04279",Follow-up 2023
HF-0003,"Powell, Morales and Butler Infirmary",Health Ctr.,179 capacity,ST. LUCY,November 21 2020,07-03-24,"12.77293, -59.04279",Follow-up 2023
00004,"Williams, Woods and Bradley Polyclinic",Hospital,N/A,St Andrew,17-04-21,January 31 2024,13°12′43″N 58°51′50″W,
,May and Sons Medical Center (St),Polyclinic 🏥,ten beds,St Peter,20160217,2018-01-01,13°2′6″N 59°0′38″W,Follow-up 2023
,May and Sons Medical Center (St),Polyclinic 🏥,ten beds,St Peter,20160217,2018-01-01,13°2′6″N 59°0′38″W,Follow-up 2023
00006,"Herrera,-Taylor-and-Sanchez (St.Andrew)",Health Centre,ten beds,St.Andrew,06/11/21,22 Mar 2018,13°14′8″N 59°2′1″W,-
007,Wagner-Franklin Health Centre,Clinic,461 patients,St. James,18/05/18,July 31 2019,"-59.10919, 13.04721",
,"Hurley, Jensen and Perkins Hosp. (st.)",Hosp.,338 patients,st. lucy,09-09-25,20250926,"13.21772, -59.18644",Reinspection due
HF-0009,Lee-Macias Polyclinic©,Community Health Centre,ten beds,st. andrew,November 13 2019,20240815,12°53′44″N 58°59′13″W,Reinspection due
,"White,-Wilcox-and-Martin Medical Center (St.)",Polyclinic 🏥,408 patients,St. Andrew,18-01-24,20191216,"12.71967, -58.88816",-
011,Brown-Wilson 🏥 (ChristChurch),Community Health Centre,27 capacity,ChristChurch,27-09-20,13-03-19,13°14′19″N 59°2′18″W,Reinspection due
#12,"Newton,-Peters-and-Rivera©",Community Health Ctr.,392 patients,Christ Church ,23-08-24,20230506,POINT(-59.22110 13.22506),
#13,"Barr, Conley and Mendoza Clinic (ST.)",Polyclinic,unknown,ST. JAMES,August 16 2024,08-01-22,POINT(-58.87985 13.17264),-
333db8,Zimmerman and Sons Infirmary (St.),Polyclinic,84Beds,St. Lucy ,02-10-19,2025-11-18,POINT(-58.91250 13.17008),Good
